"userid";"username";"usercode";"p1";"p2";"p3";"p4";"p5";"p6";"p7";"p8";"p9";"p10";"p11";"p101";"p102";"p103";"p104"
"1";"Holky z kanclu";"FAKTURA";"2018-09-15 07:56:54.516746";"2018-09-15 09:01:05.578393";"2018-09-15 10:32:22.479540";"2018-09-15 12:02:44.629441";"2018-09-15 14:31:47.092518";"2018-09-15 15:50:32.314969";"2018-09-15 17:13:14.773382";"2018-09-15 18:24:23.688453";"2018-09-15 18:57:07.636047";"2018-09-15 19:56:04.993545";"2018-09-15 20:23:07.457096";"None";"None";"None";"None"
"2";"Protøepat, nemíchat";"KOBLIHA";"2018-09-15 08:14:13.985870";"2018-09-15 09:18:49.089804";"2018-09-15 10:32:26.586575";"2018-09-15 13:19:59.160345";"2018-09-15 15:02:32.910572";"2018-09-15 16:21:41.894637";"2018-09-15 17:28:16.617796";"2018-09-15 18:46:36.707511";"2018-09-15 19:32:38.331657";"2018-09-15 20:09:12.799427";"2018-09-15 20:30:44.713608";"None";"None";"None";"None"
"3";"Lípy z pípy";"PIVNICE";"2018-09-15 08:26:16.822194";"2018-09-15 09:19:35.366573";"2018-09-15 10:20:14.864382";"2018-09-15 11:51:58.072216";"2018-09-15 14:55:06.669552";"2018-09-15 16:04:40.315989";"2018-09-15 17:19:48.377806";"2018-09-15 18:29:52.283152";"2018-09-15 19:27:09.142213";"2018-09-15 20:11:59.809133";"2018-09-15 20:45:25.053688";"None";"None";"None";"None"
"4";"Malí parchanti";"GALAXIE";"2018-09-15 07:43:09.597377";"2018-09-15 09:17:58.293268";"2018-09-15 10:21:09.597793";"2018-09-15 12:00:35.661900";"2018-09-15 14:16:59.158317";"2018-09-15 15:14:39.643570";"2018-09-15 16:27:41.737925";"2018-09-15 17:50:33.801521";"2018-09-15 18:57:13.395448";"2018-09-15 19:56:39.395820";"2018-09-15 20:23:49.751590";"None";"None";"None";"None"
"5";"Diskvalifikovaní";"BRUNETA";"2018-09-15 07:58:17.374979";"2018-09-15 09:03:25.410365";"2018-09-15 10:43:05.712012";"2018-09-15 12:44:35.900755";"2018-09-15 14:48:19.608858";"2018-09-15 16:13:22.480049";"2018-09-15 17:26:31.712292";"2018-09-15 18:41:52.397587";"2018-09-15 19:12:54.637265";"2018-09-15 20:13:20.419245";"2018-09-15 20:37:26.242301";"None";"None";"None";"None"
"6";"Pípy z Lípy";"PAVILON";"2018-09-15 07:54:51.110998";"2018-09-15 09:52:53.906792";"2018-09-15 10:51:51.001018";"2018-09-15 12:44:58.931374";"2018-09-15 14:10:54.437373";"2018-09-15 15:04:15.660451";"2018-09-15 16:05:39.548244";"2018-09-15 17:28:05.479898";"2018-09-15 18:54:03.038105";"2018-09-15 19:51:15.767834";"2018-09-15 20:10:25.122540";"None";"None";"None";"None"
"7";"Alko_holici";"NOTORIK";"2018-09-15 08:25:54.091659";"2018-09-15 09:28:09.679720";"2018-09-15 10:46:01.513997";"2018-09-15 12:22:36.757636";"2018-09-15 14:22:24.407694";"2018-09-15 15:45:12.901741";"2018-09-15 16:52:12.840423";"2018-09-15 17:55:57.960580";"2018-09-15 18:47:27.878254";"2018-09-15 19:40:52.702646";"2018-09-15 20:06:34.105436";"None";"None";"None";"None"
"8";"Vrkù Vrkù ve støevíèku krev";"SADISTA";"2018-09-15 08:15:32.542074";"2018-09-15 09:37:29.348978";"2018-09-15 10:43:01.786197";"2018-09-15 12:03:10.781670";"2018-09-15 14:31:12.155292";"2018-09-15 15:46:31.400348";"2018-09-15 16:49:19.546195";"2018-09-15 18:46:27.154005";"2018-09-15 19:17:34.448382";"2018-09-15 19:59:53.343210";"2018-09-15 20:24:32.876252";"None";"None";"None";"None"
"9";"Pøedposlední";"PAHOREK";"2018-09-15 08:19:05.298952";"2018-09-15 09:09:33.890722";"2018-09-15 10:41:22.928581";"2018-09-15 12:25:16.235343";"2018-09-15 14:30:12.520645";"2018-09-15 16:09:40.626101";"2018-09-15 17:16:35.783828";"2018-09-15 18:26:20.020735";"2018-09-15 19:19:37.744129";"2018-09-15 19:59:23.905896";"2018-09-15 20:27:48.699699";"None";"None";"None";"None"
"10";"Mamajuana";"MINARET";"2018-09-15 08:03:38.366744";"2018-09-15 09:18:13.449509";"2018-09-15 10:14:59.283767";"2018-09-15 11:53:39.222846";"2018-09-15 13:58:38.401790";"2018-09-15 15:13:40.907801";"2018-09-15 16:30:36.653268";"2018-09-15 17:44:10.781863";"2018-09-15 18:23:40.310032";"2018-09-15 19:29:52.167423";"2018-09-15 19:52:07.390382";"None";"None";"None";"None"
