"userid";"username";"usercode";"p1";"p2";"p3";"p4";"p5";"p6";"p7";"p8";"p9";"p10";"p11";"p101";"p102";"p103";"p104"
"1";"Holky z kanclu";"FAKTURA";"None";"2018-09-15 09:02:16.534095";"2018-09-15 10:32:52.060664";"None";"2018-09-15 14:34:25.500175";"2018-09-15 15:51:26.255821";"2018-09-15 17:14:12.622265";"None";"None";"None";"None";"None";"None";"None";"None"
"2";"Protøepat, nemíchat";"KOBLIHA";"None";"2018-09-15 09:20:18.474300";"2018-09-15 10:33:33.487740";"2018-09-15 13:43:41.417604";"None";"None";"2018-09-15 17:33:44.635507";"2018-09-15 18:50:42.359332";"None";"2018-09-15 20:10:00.373796";"None";"None";"None";"None";"None"
"3";"Lípy z pípy";"PIVNICE";"None";"2018-09-15 09:20:11.058710";"2018-09-15 10:20:41.147769";"None";"2018-09-15 15:00:30.006047";"None";"2018-09-15 17:20:12.381264";"None";"None";"None";"None";"None";"None";"None";"None"
"4";"Malí parchanti";"GALAXIE";"None";"2018-09-15 09:18:22.220807";"2018-09-15 10:22:26.544163";"None";"2018-09-15 14:17:19.199840";"None";"2018-09-15 16:28:13.794883";"None";"2018-09-15 18:58:29.568840";"2018-09-15 19:56:58.838938";"None";"None";"None";"None";"None"
"5";"Diskvalifikovaní";"BRUNETA";"None";"2018-09-15 09:03:56.275774";"2018-09-15 10:47:11.696100";"None";"None";"None";"2018-09-15 17:27:10.645744";"2018-09-15 18:42:29.514413";"None";"2018-09-15 20:14:33.854119";"None";"None";"None";"None";"None"
"6";"Pípy z Lípy";"PAVILON";"None";"2018-09-15 09:55:37.195225";"2018-09-15 10:53:16.055933";"None";"2018-09-15 14:11:16.613608";"None";"2018-09-15 16:08:21.916011";"None";"None";"None";"None";"None";"None";"None";"None"
"7";"Alko_holici";"NOTORIK";"None";"2018-09-15 09:28:15.010180";"2018-09-15 10:49:00.241545";"None";"None";"2018-09-15 15:45:31.525908";"2018-09-15 16:52:28.199334";"None";"None";"2018-09-15 19:42:27.482028";"None";"None";"None";"None";"None"
"8";"Vrkù Vrkù ve støevíèku krev";"SADISTA";"None";"2018-09-15 09:37:46.235954";"2018-09-15 10:43:19.779593";"None";"2018-09-15 14:31:31.162229";"None";"2018-09-15 16:49:49.536303";"None";"None";"None";"None";"None";"None";"None";"None"
"9";"Pøedposlední";"PAHOREK";"None";"2018-09-15 09:11:32.676315";"2018-09-15 10:43:16.390149";"2018-09-15 12:26:09.838515";"2018-09-15 14:30:43.966722";"None";"2018-09-15 17:17:27.515625";"None";"None";"None";"None";"None";"None";"None";"None"
"10";"Mamajuana";"MINARET";"None";"2018-09-15 09:19:05.290469";"2018-09-15 10:15:31.878611";"None";"None";"None";"2018-09-15 17:45:21.243735";"2018-09-15 17:45:10.298463";"2018-09-15 18:24:18.916559";"2018-09-15 19:30:20.331070";"None";"None";"None";"None";"None"
"11";"Upresnime pozdeji";"OPERACE";"None";"2018-09-15 09:14:08.993292";"2018-09-15 10:30:38.161685";"2018-09-15 12:31:54.663379";"2018-09-15 14:34:59.699678";"2018-09-15 15:41:41.488817";"2018-09-15 16:49:44.293919";"2018-09-15 17:56:37.506000";"None";"None";"None";"None";"None";"None";"None"
"12";"Pøipálený šnek";"OBELISK";"None";"2018-09-15 12:43:11.766406";"2018-09-15 10:46:37.112486";"None";"2018-09-15 14:24:07.171519";"None";"2018-09-15 16:24:21.493845";"2018-09-15 17:56:30.964192";"None";"2018-09-15 19:52:25.948765";"None";"None";"None";"None";"None"
"13";"Bavorske kozene kalhotky";"FEROMON";"None";"None";"2018-09-15 09:39:32.685469";"None";"2018-09-15 12:23:46.558239";"2018-09-15 13:37:02.767587";"2018-09-15 14:33:54.111838";"2018-09-15 16:04:28.957592";"2018-09-15 17:28:39.133384";"None";"None";"None";"None";"None";"None"
"14";"Chvojkovice Brod";"ZORNICE";"None";"2018-09-15 19:49:14.165059";"2018-09-15 10:21:42.168056";"2018-09-15 12:09:58.749385";"2018-09-15 14:05:23.625533";"None";"2018-09-15 15:50:50.126895";"None";"2018-09-15 18:44:23.605429";"None";"None";"None";"None";"None";"None"
"15";"Kundratka";"PARAZIT";"None";"2018-09-15 09:08:01.943077";"2018-09-15 10:03:17.467740";"None";"2018-09-15 13:04:33.169951";"None";"2018-09-15 16:06:30.358987";"None";"2018-09-15 18:26:23.471421";"None";"None";"None";"None";"None";"None"
"16";"Pozdní sbìr";"TRAFIKA";"None";"None";"None";"None";"2018-09-15 15:09:22.772170";"2018-09-15 16:13:03.207106";"2018-09-15 17:24:13.270796";"None";"None";"None";"None";"None";"None";"None";"None"
"17";"Degen a spol";"FLOTILA";"None";"2018-09-15 19:49:52.819347";"2018-09-15 19:50:10.080801";"None";"2018-09-15 19:50:29.745365";"2018-09-15 19:51:13.603928";"2018-09-15 19:51:30.390314";"2018-09-15 19:51:48.049893";"2018-09-15 19:52:15.027171";"None";"None";"None";"None";"None";"None"
"18";"FCB";"VIDLICE";"None";"2018-09-15 09:19:59.767314";"2018-09-15 10:24:31.558440";"None";"None";"2018-09-15 15:21:29.729165";"2018-09-15 16:22:53.419235";"2018-09-15 18:22:16.306461";"None";"None";"None";"None";"None";"None";"None"
"19";"Kat Kudrna";"ZAJATEC";"None";"2018-09-15 08:38:44.105117";"2018-09-15 09:50:57.194922";"None";"2018-09-15 13:18:38.095783";"None";"2018-09-15 15:44:02.307987";"2018-09-15 16:58:02.621056";"None";"2018-09-15 19:35:36.044893";"None";"None";"None";"None";"None"
"20";"Slovní pøíèka";"SAMOVAR";"None";"2018-09-15 08:39:04.926186";"2018-09-15 10:01:24.527301";"None";"2018-09-15 14:21:38.385378";"None";"2018-09-15 16:23:35.421613";"None";"None";"None";"None";"None";"None";"None";"None"
