"userid";"username";"usercode";"p1";"p2";"p3";"p4";"p5";"p6";"p7";"p8";"p9";"p10";"p11";"p101";"p102";"p103";"p104"
"1";"Holky z kanclu";"FAKTURA";"None";"None";"2018-09-15 10:22:36.781221";"2018-09-15 11:44:39.749982";"2018-09-15 14:11:17.637435";"None";"2018-09-15 17:07:18.708236";"2018-09-15 18:21:09.194521";"None";"None";"None";"None";"None";"None";"None"
"2";"Protøepat, nemíchat";"KOBLIHA";"None";"None";"None";"2018-09-15 12:03:19.820876";"2018-09-15 14:56:50.822416";"None";"2018-09-15 17:23:02.249624";"2018-09-15 18:31:46.196426";"2018-09-15 19:10:02.715114";"2018-09-15 20:07:55.908806";"None";"None";"None";"None";"None"
"3";"Lípy z pípy";"PIVNICE";"2018-09-15 08:24:20.514596";"None";"None";"None";"2018-09-15 14:35:17.426807";"None";"None";"2018-09-15 18:22:08.801091";"2018-09-15 19:08:55.030836";"None";"None";"None";"None";"2018-09-15 19:01:21.910799";"None"
"4";"Malí parchanti";"GALAXIE";"None";"None";"None";"None";"2018-09-15 14:00:37.913571";"None";"None";"2018-09-15 17:37:05.377897";"2018-09-15 18:48:30.005283";"None";"None";"None";"None";"None";"None"
"5";"Diskvalifikovaní";"BRUNETA";"None";"None";"2018-09-15 10:16:30.170829";"2018-09-15 12:21:16.102829";"2018-09-15 14:34:39.609096";"None";"None";"2018-09-15 18:33:31.575377";"2018-09-15 19:09:27.587253";"2018-09-15 20:11:23.870106";"None";"None";"None";"None";"None"
"6";"Pípy z Lípy";"PAVILON";"None";"2018-09-15 09:35:49.185631";"None";"2018-09-15 12:09:42.888580";"None";"None";"None";"None";"2018-09-15 18:26:40.612341";"2018-09-15 19:45:05.562275";"None";"None";"None";"None";"None"
"7";"Alko_holici";"NOTORIK";"2018-09-15 08:23:27.308553";"None";"2018-09-15 10:45:05.391760";"2018-09-15 11:40:15.591233";"2018-09-15 14:18:46.166437";"2018-09-15 15:33:06.194127";"2018-09-15 16:48:42.125420";"2018-09-15 17:47:41.115486";"2018-09-15 18:23:06.631747";"2018-09-15 19:38:39.125006";"None";"2018-09-15 10:38:21.616667";"None";"None";"None"
"8";"Vrkù Vrkù ve støevíèku krev";"SADISTA";"None";"None";"2018-09-15 10:39:20.677500";"2018-09-15 11:53:59.941661";"2018-09-15 13:47:25.032804";"None";"None";"2018-09-15 18:26:29.439794";"2018-09-15 19:10:54.276655";"None";"None";"None";"None";"None";"None"
"9";"Pøedposlední";"PAHOREK";"2018-09-15 08:03:08.842291";"None";"2018-09-15 10:30:28.122967";"None";"2018-09-15 14:14:34.098046";"2018-09-15 15:43:34.474690";"None";"None";"2018-09-15 19:04:22.807738";"2018-09-15 19:58:15.904645";"None";"None";"None";"None";"None"
"10";"Mamajuana";"MINARET";"2018-09-15 08:02:11.008309";"None";"2018-09-15 10:10:51.934210";"2018-09-15 11:40:59.070394";"2018-09-15 13:49:00.353638";"None";"2018-09-15 16:26:07.888690";"None";"2018-09-15 18:16:03.258734";"2018-09-15 19:24:17.277034";"None";"2018-09-15 10:10:17.016420";"None";"2018-09-15 20:16:45.130571";"None"
"11";"Upresnime pozdeji";"OPERACE";"2018-09-15 07:43:20.208474";"2018-09-15 08:52:47.368803";"None";"None";"2018-09-15 14:12:38.779793";"2018-09-15 15:28:34.824427";"2018-09-15 16:46:39.737125";"2018-09-15 17:42:27.614957";"2018-09-15 18:44:59.053263";"2018-09-15 19:50:01.471919";"None";"2018-09-15 18:53:19.122796";"2018-09-15 16:53:24.398827";"2018-09-15 19:06:09.714427";"None"
"12";"Pøipálený šnek";"OBELISK";"None";"2018-09-15 09:28:06.496701";"None";"2018-09-15 11:57:01.790146";"2018-09-15 14:11:31.128878";"None";"None";"2018-09-15 17:42:10.765721";"2018-09-15 18:44:00.133106";"2018-09-15 19:44:03.216893";"None";"None";"None";"None";"None"
"13";"Bavorske kozene kalhotky";"FEROMON";"None";"2018-09-15 08:10:28.728620";"None";"None";"None";"None";"None";"None";"2018-09-15 17:08:56.887889";"2018-09-15 18:53:43.196039";"None";"None";"2018-09-15 20:10:02.067102";"2018-09-15 20:07:26.980587";"None"
"14";"Chvojkovice Brod";"ZORNICE";"None";"None";"None";"None";"None";"None";"None";"None";"2018-09-15 18:32:00.143903";"2018-09-15 19:35:19.748355";"None";"2018-09-15 10:07:16.287333";"None";"None";"None"
"15";"Kundratka";"PARAZIT";"None";"None";"None";"None";"None";"None";"2018-09-15 16:02:01.459984";"None";"2018-09-15 18:03:20.642579";"None";"None";"2018-09-15 20:21:39.938080";"2018-09-15 20:19:30.908746";"2018-09-15 20:21:07.127647";"None"
"16";"Pozdní sbìr";"TRAFIKA";"None";"None";"None";"2018-09-15 12:16:36.164512";"2018-09-15 14:55:23.197604";"2018-09-15 15:57:01.288375";"2018-09-15 17:09:03.814739";"2018-09-15 18:15:48.395624";"2018-09-15 19:09:45.932447";"None";"None";"2018-09-15 10:32:14.460187";"2018-09-15 14:43:50.926813";"None";"None"
"17";"Degen a spol";"FLOTILA";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"2018-09-15 19:02:16.566687"
"18";"FCB";"VIDLICE";"None";"None";"None";"None";"None";"None";"None";"2018-09-15 17:59:14.048342";"None";"2018-09-15 20:18:19.461772";"None";"None";"2018-09-15 19:29:02.222777";"None";"None"
"19";"Kat Kudrna";"ZAJATEC";"None";"None";"None";"None";"None";"None";"None";"None";"None";"2018-09-15 19:21:22.978637";"None";"None";"None";"None";"None"
"20";"Slovní pøíèka";"SAMOVAR";"None";"None";"None";"2018-09-15 11:56:01.743086";"2018-09-15 14:05:32.254011";"None";"None";"2018-09-15 17:17:49.160055";"2018-09-15 18:26:46.612395";"2018-09-15 19:41:06.857729";"None";"None";"None";"None";"None"
"21";"Podej, Pøines";"CHAPADLO";"None";"None";"2018-09-15 10:24:19.872609";"2018-09-15 12:13:07.921146";"2018-09-15 14:30:37.026579";"None";"None";"2018-09-15 18:23:08.286039";"2018-09-15 19:00:48.820821";"2018-09-15 20:05:04.455166";"None";"None";"None";"None";"None"
