"userid";"username";"usercode";"p1";"p2";"p3";"p4";"p5";"p6";"p7";"p8";"p9";"p10";"p11";"p101";"p102";"p103";"p104"
"1";"Holky z kanclu";"FAKTURA";"None";"None";"2018-09-15 10:31:52.687004";"2018-09-15 12:02:25.615635";"2018-09-15 14:29:52.944823";"None";"None";"2018-09-15 18:24:01.312708";"2018-09-15 18:56:53.611035";"None";"None";"None";"None";"None";"None"
"2";"Protøepat, nemíchat";"KOBLIHA";"None";"None";"None";"None";"2018-09-15 15:01:44.148963";"None";"None";"None";"2018-09-15 19:32:14.001606";"None";"None";"None";"None";"None";"None"
"3";"Lípy z pípy";"PIVNICE";"None";"None";"None";"None";"2018-09-15 14:54:34.882818";"None";"None";"None";"2018-09-15 19:26:50.640733";"None";"None";"None";"None";"None";"None"
"4";"Malí parchanti";"GALAXIE";"None";"None";"None";"None";"None";"None";"None";"None";"2018-09-15 18:56:38.799517";"None";"None";"None";"None";"None";"None"
"5";"Diskvalifikovaní";"BRUNETA";"None";"None";"2018-09-15 10:42:07.987053";"2018-09-15 12:44:03.399056";"2018-09-15 14:47:29.495881";"None";"None";"2018-09-15 18:41:20.141800";"2018-09-15 19:12:34.714831";"None";"None";"None";"None";"None";"None"
"6";"Pípy z Lípy";"PAVILON";"None";"None";"None";"2018-09-15 12:44:41.560460";"None";"None";"None";"None";"2018-09-15 18:53:45.806988";"None";"None";"None";"None";"None";"None"
"7";"Alko_holici";"NOTORIK";"2018-09-15 08:25:30.140939";"None";"2018-09-15 10:45:44.249375";"2018-09-15 12:22:10.824001";"2018-09-15 14:21:30.123049";"None";"None";"2018-09-15 17:55:33.417621";"2018-09-15 18:46:45.029323";"None";"None";"None";"None";"None";"None"
"8";"Vrkù Vrkù ve støevíèku krev";"SADISTA";"None";"None";"2018-09-15 10:42:40.365735";"2018-09-15 12:02:53.089426";"2018-09-15 14:30:42.456255";"None";"None";"None";"2018-09-15 19:16:59.665971";"None";"None";"None";"None";"None";"None"
"9";"Pøedposlední";"PAHOREK";"None";"None";"2018-09-15 10:40:38.136435";"None";"2018-09-15 14:29:20.281704";"None";"None";"None";"2018-09-15 19:19:12.023535";"None";"None";"None";"None";"None";"None"
"10";"Mamajuana";"MINARET";"2018-09-15 08:03:09.737845";"None";"2018-09-15 10:14:40.159505";"2018-09-15 11:53:10.775150";"2018-09-15 13:58:16.709190";"None";"2018-09-15 16:30:02.569301";"None";"2018-09-15 18:23:01.333804";"2018-09-15 19:29:34.010633";"None";"None";"None";"None";"None"
"11";"Upresnime pozdeji";"OPERACE";"None";"None";"None";"None";"2018-09-15 14:34:01.110394";"None";"None";"2018-09-15 17:55:53.710032";"2018-09-15 18:57:24.718289";"None";"None";"None";"None";"None";"None"
"12";"Pøipálený šnek";"OBELISK";"None";"2018-09-15 09:43:27.098324";"None";"None";"2018-09-15 14:22:00.557976";"None";"None";"None";"2018-09-15 18:47:32.697611";"None";"None";"None";"None";"None";"None"
"13";"Bavorske kozene kalhotky";"FEROMON";"None";"None";"None";"None";"None";"None";"None";"None";"None";"2018-09-15 18:59:36.918986";"None";"None";"None";"None";"None"
"14";"Chvojkovice Brod";"ZORNICE";"None";"None";"None";"None";"None";"None";"None";"None";"2018-09-15 18:43:13.815614";"None";"None";"None";"None";"None";"None"
"15";"Kundratka";"PARAZIT";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"16";"Pozdní sbìr";"TRAFIKA";"None";"None";"None";"2018-09-15 12:29:49.241991";"2018-09-15 15:08:01.492992";"None";"2018-09-15 17:22:31.255310";"2018-09-15 18:26:59.643746";"2018-09-15 19:14:32.259252";"None";"None";"None";"None";"None";"None"
"17";"Degen a spol";"FLOTILA";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"18";"FCB";"VIDLICE";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"19";"Kat Kudrna";"ZAJATEC";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"20";"Slovní pøíèka";"SAMOVAR";"None";"None";"None";"2018-09-15 12:16:05.125444";"2018-09-15 14:20:23.534183";"None";"None";"2018-09-15 17:34:42.502178";"2018-09-15 18:41:56.783466";"None";"None";"None";"None";"None";"None"
"21";"Podej, Pøines";"CHAPADLO";"None";"None";"2018-09-15 10:52:04.487486";"2018-09-15 12:52:55.864291";"2018-09-15 14:57:07.300681";"None";"None";"2018-09-15 18:32:03.214552";"2018-09-15 19:12:45.359440";"None";"None";"None";"None";"None";"None"
"22";"Nadoj Duhu";"ONDATRA";"None";"None";"None";"None";"2018-09-15 14:20:55.962239";"None";"None";"None";"2018-09-15 18:15:34.593088";"None";"None";"None";"None";"None";"None"
"23";"Psychokopytníci";"PATRONA";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"24";"TBC";"VELRYBA";"None";"None";"None";"2018-09-15 11:47:11.159108";"None";"None";"2018-09-15 16:21:21.331964";"None";"None";"None";"None";"None";"None";"None";"None"
"25";"Šneci";"PARKETA";"None";"None";"2018-09-15 10:37:56.703696";"2018-09-15 12:36:37.097630";"2018-09-15 14:50:42.640134";"2018-09-15 16:20:38.383294";"2018-09-15 17:08:36.585532";"2018-09-15 18:21:42.125105";"2018-09-15 19:05:51.269256";"None";"None";"None";"None";"None";"None"
"26";"IDDQD";"SASANKA";"None";"None";"2018-09-15 10:56:27.418286";"2018-09-15 12:56:08.545891";"2018-09-15 15:01:13.402768";"None";"2018-09-15 17:37:23.806761";"2018-09-15 18:37:07.597855";"2018-09-15 19:07:12.631400";"None";"None";"None";"None";"None";"None"
"27";"Lamas&Papas";"VITAMIN";"None";"None";"None";"None";"2018-09-15 14:25:36.901409";"None";"None";"None";"2018-09-15 19:09:37.586536";"None";"None";"None";"None";"None";"None"
"28";"Spaøený nudle";"OPLATKA";"None";"None";"None";"2018-09-15 11:50:21.708517";"2018-09-15 13:44:01.372101";"None";"None";"2018-09-15 17:24:48.297700";"2018-09-15 18:13:36.558129";"2018-09-15 19:17:08.947071";"None";"None";"None";"None";"None"
"29";"Bobika";"OBRATEL";"None";"None";"2018-09-15 10:29:53.557573";"2018-09-15 12:15:39.107709";"2018-09-15 14:27:16.201371";"None";"None";"2018-09-15 18:07:02.105096";"2018-09-15 19:14:51.406860";"None";"None";"None";"None";"None";"None"
"30";"Sovy v mazutu";"RYPADLO";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"31";"Chnapy haraa!!";"NUDISTA";"None";"None";"None";"None";"2018-09-15 14:49:14.321519";"None";"None";"None";"2018-09-15 19:05:16.546600";"None";"None";"None";"None";"None";"None"
"32";"Destoffky";"VANILKA";"None";"None";"2018-09-15 10:51:11.694241";"2018-09-15 12:17:26.956426";"2018-09-15 14:20:41.185535";"2018-09-15 15:40:56.963518";"None";"2018-09-15 18:21:52.835250";"2018-09-15 18:50:27.585049";"None";"None";"None";"None";"None";"None"
"33";"POJELT";"PALANDA";"2018-09-15 07:38:58.403730";"None";"None";"2018-09-15 12:13:01.404967";"2018-09-15 14:14:11.871086";"None";"2018-09-15 17:06:32.810200";"2018-09-15 18:29:08.831284";"2018-09-15 19:00:28.035433";"None";"None";"None";"None";"None";"None"
"34";"Tak do desátého";"ETERNIT";"None";"None";"None";"2018-09-15 11:26:48.781684";"2018-09-15 13:30:17.474099";"None";"None";"None";"2018-09-15 18:37:11.418173";"None";"None";"None";"None";"None";"None"
"35";"Nostromo";"OHRYZEK";"None";"None";"None";"2018-09-15 12:52:28.962614";"2018-09-15 15:06:35.482322";"None";"None";"None";"2018-09-15 19:12:34.299388";"None";"None";"None";"None";"None";"None"
"36";"Už tam budem?";"BARVIVO";"2018-09-15 09:03:53.618323";"None";"2018-09-15 11:02:18.910169";"2018-09-15 13:03:16.523126";"2018-09-15 15:13:59.556977";"None";"2018-09-15 17:36:38.462124";"2018-09-15 18:44:43.591583";"2018-09-15 19:19:27.808837";"None";"None";"2018-09-15 13:40:53.759691";"None";"None";"None"
"37";"Lamy";"VIKUNA";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"38";"Lamy2";"VIKUNA2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
"39";"Lamy3";"VIKUNA3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None"
