"userid";"username";"usercode";"Finish"
"1";"Holky z kanclu";"FAKTURA";"None"
"2";"Protøepat, nemíchat";"KOBLIHA";"None"
"3";"Lípy z pípy";"PIVNICE";"None"
"4";"Malí parchanti";"GALAXIE";"None"
"5";"Diskvalifikovaní";"BRUNETA";"None"
"6";"Pípy z Lípy";"PAVILON";"None"
"7";"Alko_holici";"NOTORIK";"None"
"8";"Vrkù Vrkù ve støevíèku krev";"SADISTA";"None"
"9";"Pøedposlední";"PAHOREK";"None"
"10";"Mamajuana";"MINARET";"None"
"11";"Upresnime pozdeji";"OPERACE";"None"
"12";"Pøipálený šnek";"OBELISK";"None"
"13";"Bavorske kozene kalhotky";"FEROMON";"None"
"14";"Chvojkovice Brod";"ZORNICE";"None"
"15";"Kundratka";"PARAZIT";"None"
"16";"Pozdní sbìr";"TRAFIKA";"None"
"17";"Degen a spol";"FLOTILA";"None"
"18";"FCB";"VIDLICE";"None"
"19";"Kat Kudrna";"ZAJATEC";"None"
"20";"Slovní pøíèka";"SAMOVAR";"None"
"21";"Podej, Pøines";"CHAPADLO";"None"
"22";"Nadoj Duhu";"ONDATRA";"None"
"23";"Psychokopytníci";"PATRONA";"None"
"24";"TBC";"VELRYBA";"None"
"25";"Šneci";"PARKETA";"None"
"26";"IDDQD";"SASANKA";"None"
"27";"Lamas&Papas";"VITAMIN";"None"
"28";"Spaøený nudle";"OPLATKA";"None"
"29";"Bobika";"OBRATEL";"None"
"30";"Sovy v mazutu";"RYPADLO";"None"
"31";"Chnapy haraa!!";"NUDISTA";"None"
"32";"Destoffky";"VANILKA";"None"
"33";"POJELT";"PALANDA";"None"
"34";"Tak do desátého";"ETERNIT";"None"
"35";"Nostromo";"OHRYZEK";"None"
"36";"Už tam budem?";"BARVIVO";"None"
"37";"Lamy";"VIKUNA";"None"
"38";"Lamy2";"VIKUNA2";"None"
"39";"Lamy3";"VIKUNA3";"None"
